-34.893,-56.1221,89
-34.893,-56.1204,84
-34.893,-56.12,104
-34.893,-56.1189,3
-34.893,-56.1176,74
-34.893,-56.1156,88
-34.893,-56.1135,61
-34.893,-56.1129,45
-34.893,-56.1098,42
-34.893,-56.1062,70
-34.893,-56.1056,64
-34.893,-56.1055,39
-34.893,-56.1054,104
-34.893,-56.1038,107
-34.893,-56.1028,98
-34.893,-56.1024,114
-34.893,-56.1018,45
-34.893,-56.1009,25
-34.893,-56.1008,71
-34.893,-56.1002,61
-
-
-
-
-
-34.9036,-56.1781,113
-34.9036,-56.1726,49
-34.9036,-56.1642,97
-34.9036,-56.1557,51
-34.9036,-56.1471,50
-34.9036,-56.2019,58
-34.9036,-56.2014,25
-34.9036,-56.199,98
-34.9036,-56.1933,119
-34.9036,-56.1862,98
-34.9036,-56.1691,62
-34.9036,-56.1668,97
-34.9036,-56.1575,106
-34.9036,-56.1507,79
-34.9036,-56.1493,116
-
-
-
-34.9139,-56.1728,105
-34.9139,-56.1615,27
-34.9139,-56.1527,1
-34.9139,-56.1492,85
-34.9139,-56.1795,65
-34.9139,-56.1626,80
-34.9139,-56.1625,16
-34.9139,-56.1544,59
-34.9139,-56.1523,40
-34.9139,-56.1509,21
-34.9139,-56.1506,67
-34.9139,-56.1589,6
-34.9139,-56.1576,35
-34.9139,-56.1807,115
-34.9139,-56.1576,49
-34.9139,-56.157,102
-34.9139,-56.1544,110
-34.9139,-56.1527,4
-34.9139,-56.1508,111
-34.9139,-56.1731,40
-34.9139,-56.1647,110
-34.9139,-56.1748,42
-34.9139,-56.1629,70
-34.9139,-56.1605,66
-34.9139,-56.1577,74
-34.9139,-56.1537,76
-34.9139,-56.1737,51
-34.9139,-56.1659,120
-34.9139,-56.1507,6
-34.9139,-56.1892,27
-34.9139,-56.1708,79
-34.9139,-56.1587,70
-34.9139,-56.1577,95
-34.9139,-56.1493,32
-34.9139,-56.1864,49
-34.9139,-56.1587,10
-34.9139,-56.1522,101
-34.9138,-56.1752,38
-34.9138,-56.1524,83
-34.9138,-56.1506,89
-34.9138,-56.1752,5
-34.9138,-56.1605,8
-34.9138,-56.1481,119
-34.9138,-56.1828,90
-34.9138,-56.1577,86
-34.9138,-56.1577,101
-34.9138,-56.1577,40
-34.9138,-56.1577,28
-34.9138,-56.1535,37
-34.9138,-56.1521,115
-34.9138,-56.1514,17
-34.9138,-56.1499,58
-34.9138,-56.1493,95
-34.9138,-56.1564,88
-34.9138,-56.1501,111
-34.9138,-56.1827,29
-34.9138,-56.172,66
-34.9138,-56.1527,45
-34.9138,-56.1849,29
-34.9138,-56.1827,64
-34.9138,-56.1747,13
-34.9138,-56.1615,34
-34.9138,-56.1595,81
-34.9138,-56.1577,112
-34.9138,-56.1823,101
-34.9138,-56.1746,60
-34.9138,-56.1614,11
-34.9138,-56.1594,96
-34.9138,-56.1506,44
-34.9138,-56.1478,73
-34.9138,-56.1615,78
-34.9138,-56.1763,108
-34.9138,-56.1516,36
-34.9138,-56.1548,50
-34.9138,-56.1713,105
-34.9138,-56.1578,43
-34.9138,-56.1828,88
-34.9138,-56.1808,69
-34.9138,-56.1892,108
-34.9138,-56.1865,22
-34.9138,-56.1827,22
-34.9138,-56.1812,86
-34.9138,-56.1751,109
-34.9138,-56.1705,53
-34.9138,-56.1627,42
-34.9138,-56.1619,72
-34.9138,-56.1616,104
-34.9138,-56.161,37
-34.9138,-56.1609,49
-34.9138,-56.1607,103
-34.9138,-56.1606,11
-34.9138,-56.1605,75
-34.9138,-56.1604,3
-34.9138,-56.1603,3
-34.9138,-56.1601,109
-34.9138,-56.1588,54
-34.9138,-56.1577,65
-34.9138,-56.1575,48
-34.9138,-56.1564,28
-34.9138,-56.1562,11
